RPT_DIST_NO,CRM_CD,CRM_CD_DESC,TOTAL,OCCR_RNK
101,510,VEHICLE - STOLEN,174,1
105,510,VEHICLE - STOLEN,64,1
109,210,ROBBERY,6,1
111,330,BURGLARY FROM VEHICLE,413,1
112,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",38,1
112,624,BATTERY - SIMPLE ASSAULT,38,1
112,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",38,1
118,330,BURGLARY FROM VEHICLE,157,1
119,888,TRESPASSING,1148,1
121,330,BURGLARY FROM VEHICLE,87,1
122,624,BATTERY - SIMPLE ASSAULT,64,1
123,624,BATTERY - SIMPLE ASSAULT,45,1
124,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",203,1
127,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",56,1
128,330,BURGLARY FROM VEHICLE,122,1
129,330,BURGLARY FROM VEHICLE,216,1
131,330,BURGLARY FROM VEHICLE,55,1
132,888,TRESPASSING,396,1
133,330,BURGLARY FROM VEHICLE,205,1
134,330,BURGLARY FROM VEHICLE,108,1
135,330,BURGLARY FROM VEHICLE,219,1
138,330,BURGLARY FROM VEHICLE,654,1
139,330,BURGLARY FROM VEHICLE,526,1
141,624,BATTERY - SIMPLE ASSAULT,53,1
142,330,BURGLARY FROM VEHICLE,289,1
143,330,BURGLARY FROM VEHICLE,141,1
144,624,BATTERY - SIMPLE ASSAULT,49,1
145,330,BURGLARY FROM VEHICLE,68,1
146,624,BATTERY - SIMPLE ASSAULT,46,1
147,624,BATTERY - SIMPLE ASSAULT,104,1
148,624,BATTERY - SIMPLE ASSAULT,124,1
151,624,BATTERY - SIMPLE ASSAULT,69,1
152,624,BATTERY - SIMPLE ASSAULT,517,1
153,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),410,1
154,330,BURGLARY FROM VEHICLE,194,1
155,845,SEX OFFENDER REGISTRANT OUT OF COMPLIANCE,154,1
156,624,BATTERY - SIMPLE ASSAULT,347,1
157,624,BATTERY - SIMPLE ASSAULT,305,1
158,624,BATTERY - SIMPLE ASSAULT,150,1
159,330,BURGLARY FROM VEHICLE,784,1
161,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),1131,1
162,330,BURGLARY FROM VEHICLE,1114,1
163,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),131,1
164,330,BURGLARY FROM VEHICLE,235,1
165,330,BURGLARY FROM VEHICLE,74,1
166,624,BATTERY - SIMPLE ASSAULT,217,1
171,330,BURGLARY FROM VEHICLE,192,1
174,330,BURGLARY FROM VEHICLE,155,1
176,330,BURGLARY FROM VEHICLE,177,1
181,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",122,1
182,330,BURGLARY FROM VEHICLE,968,1
185,330,BURGLARY FROM VEHICLE,588,1
191,510,VEHICLE - STOLEN,53,1
192,330,BURGLARY FROM VEHICLE,443,1
195,330,BURGLARY FROM VEHICLE,227,1
201,624,BATTERY - SIMPLE ASSAULT,123,1
202,510,VEHICLE - STOLEN,84,1
203,624,BATTERY - SIMPLE ASSAULT,61,1
204,510,VEHICLE - STOLEN,199,1
205,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),536,1
211,510,VEHICLE - STOLEN,132,1
212,510,VEHICLE - STOLEN,111,1
213,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",1,1
213,510,VEHICLE - STOLEN,1,1
215,510,VEHICLE - STOLEN,102,1
216,510,VEHICLE - STOLEN,126,1
217,510,VEHICLE - STOLEN,109,1
218,510,VEHICLE - STOLEN,186,1
219,510,VEHICLE - STOLEN,157,1
221,888,TRESPASSING,134,1
224,440,THEFT PLAIN - PETTY ($950 & UNDER),1,1
225,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1,1
226,510,VEHICLE - STOLEN,1,1
231,510,VEHICLE - STOLEN,113,1
233,510,VEHICLE - STOLEN,137,1
234,624,BATTERY - SIMPLE ASSAULT,1,1
234,510,VEHICLE - STOLEN,1,1
235,510,VEHICLE - STOLEN,174,1
236,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),247,1
237,510,VEHICLE - STOLEN,342,1
238,510,VEHICLE - STOLEN,180,1
239,330,BURGLARY FROM VEHICLE,54,1
241,510,VEHICLE - STOLEN,95,1
242,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1,1
244,510,VEHICLE - STOLEN,1,1
244,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),1,1
245,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",307,1
246,888,TRESPASSING,768,1
247,624,BATTERY - SIMPLE ASSAULT,97,1
248,354,THEFT OF IDENTITY,118,1
249,330,BURGLARY FROM VEHICLE,311,1
251,354,THEFT OF IDENTITY,128,1
252,624,BATTERY - SIMPLE ASSAULT,1,1
254,900,VIOLATION OF COURT ORDER,2,1
256,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),218,1
257,624,BATTERY - SIMPLE ASSAULT,198,1
261,510,VEHICLE - STOLEN,131,1
265,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",177,1
266,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),126,1
267,946,OTHER MISCELLANEOUS CRIME,2,1
269,510,VEHICLE - STOLEN,219,1
271,510,VEHICLE - STOLEN,98,1
275,510,VEHICLE - STOLEN,135,1
277,440,THEFT PLAIN - PETTY ($950 & UNDER),1,1
279,510,VEHICLE - STOLEN,121,1
281,624,BATTERY - SIMPLE ASSAULT,104,1
285,624,BATTERY - SIMPLE ASSAULT,75,1
289,510,VEHICLE - STOLEN,101,1
291,624,BATTERY - SIMPLE ASSAULT,91,1
292,510,VEHICLE - STOLEN,31,1
295,510,VEHICLE - STOLEN,66,1
299,510,VEHICLE - STOLEN,127,1
301,510,VEHICLE - STOLEN,35,1
303,510,VEHICLE - STOLEN,15,1
303,210,ROBBERY,15,1
303,624,BATTERY - SIMPLE ASSAULT,15,1
305,510,VEHICLE - STOLEN,32,1
307,668,"EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)",42,1
308,510,VEHICLE - STOLEN,136,1
309,210,ROBBERY,6,1
309,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",6,1
311,510,VEHICLE - STOLEN,170,1
312,510,VEHICLE - STOLEN,104,1
313,510,VEHICLE - STOLEN,72,1
314,510,VEHICLE - STOLEN,183,1
315,510,VEHICLE - STOLEN,121,1
316,510,VEHICLE - STOLEN,128,1
317,510,VEHICLE - STOLEN,124,1
318,510,VEHICLE - STOLEN,95,1
319,510,VEHICLE - STOLEN,88,1
321,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),138,1
325,510,VEHICLE - STOLEN,79,1
326,510,VEHICLE - STOLEN,180,1
327,480,BIKE - STOLEN,107,1
328,480,BIKE - STOLEN,223,1
329,510,VEHICLE - STOLEN,75,1
331,510,VEHICLE - STOLEN,118,1
332,510,VEHICLE - STOLEN,95,1
333,510,VEHICLE - STOLEN,104,1
334,510,VEHICLE - STOLEN,144,1
335,510,VEHICLE - STOLEN,71,1
336,510,VEHICLE - STOLEN,108,1
337,510,VEHICLE - STOLEN,125,1
338,440,THEFT PLAIN - PETTY ($950 & UNDER),225,1
341,330,BURGLARY FROM VEHICLE,78,1
343,354,THEFT OF IDENTITY,43,1
351,668,"EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)",80,1
353,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),163,1
354,510,VEHICLE - STOLEN,130,1
355,510,VEHICLE - STOLEN,116,1
356,510,VEHICLE - STOLEN,187,1
357,510,VEHICLE - STOLEN,197,1
358,522,"VEHICLE, STOLEN - OTHER (MOTORIZED SCOOTERS, BIKES, ETC)",393,1
359,624,BATTERY - SIMPLE ASSAULT,74,1
361,354,THEFT OF IDENTITY,251,1
362,354,THEFT OF IDENTITY,402,1
363,354,THEFT OF IDENTITY,280,1
373,888,TRESPASSING,137,1
374,510,VEHICLE - STOLEN,101,1
375,624,BATTERY - SIMPLE ASSAULT,127,1
376,510,VEHICLE - STOLEN,159,1
377,624,BATTERY - SIMPLE ASSAULT,83,1
378,352,PICKPOCKET,234,1
379,624,BATTERY - SIMPLE ASSAULT,137,1
391,510,VEHICLE - STOLEN,125,1
392,510,VEHICLE - STOLEN,209,1
393,510,VEHICLE - STOLEN,205,1
394,510,VEHICLE - STOLEN,92,1
395,510,VEHICLE - STOLEN,246,1
396,510,VEHICLE - STOLEN,152,1
397,510,VEHICLE - STOLEN,291,1
398,510,VEHICLE - STOLEN,152,1
399,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),87,1
401,510,VEHICLE - STOLEN,27,1
402,510,VEHICLE - STOLEN,51,1
403,510,VEHICLE - STOLEN,6,1
403,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",6,1
404,510,VEHICLE - STOLEN,87,1
405,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",3,1
406,510,VEHICLE - STOLEN,76,1
407,510,VEHICLE - STOLEN,81,1
408,510,VEHICLE - STOLEN,46,1
409,510,VEHICLE - STOLEN,110,1
411,510,VEHICLE - STOLEN,76,1
412,510,VEHICLE - STOLEN,184,1
413,510,VEHICLE - STOLEN,38,1
414,510,VEHICLE - STOLEN,21,1
415,510,VEHICLE - STOLEN,127,1
416,510,VEHICLE - STOLEN,68,1
417,510,VEHICLE - STOLEN,76,1
418,510,VEHICLE - STOLEN,26,1
421,510,VEHICLE - STOLEN,135,1
422,510,VEHICLE - STOLEN,162,1
423,510,VEHICLE - STOLEN,107,1
424,510,VEHICLE - STOLEN,117,1
426,510,VEHICLE - STOLEN,65,1
427,510,VEHICLE - STOLEN,108,1
428,510,VEHICLE - STOLEN,47,1
429,510,VEHICLE - STOLEN,112,1
437,510,VEHICLE - STOLEN,169,1
438,510,VEHICLE - STOLEN,152,1
439,510,VEHICLE - STOLEN,153,1
441,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",19,1
442,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),116,1
443,510,VEHICLE - STOLEN,85,1
445,510,VEHICLE - STOLEN,41,1
448,510,VEHICLE - STOLEN,128,1
449,510,VEHICLE - STOLEN,101,1
451,510,VEHICLE - STOLEN,69,1
452,624,BATTERY - SIMPLE ASSAULT,28,1
453,510,VEHICLE - STOLEN,155,1
454,510,VEHICLE - STOLEN,56,1
455,510,VEHICLE - STOLEN,120,1
456,510,VEHICLE - STOLEN,73,1
457,510,VEHICLE - STOLEN,135,1
459,510,VEHICLE - STOLEN,109,1
461,510,VEHICLE - STOLEN,75,1
462,310,BURGLARY,49,1
463,510,VEHICLE - STOLEN,88,1
464,624,BATTERY - SIMPLE ASSAULT,132,1
465,510,VEHICLE - STOLEN,63,1
466,510,VEHICLE - STOLEN,125,1
467,510,VEHICLE - STOLEN,138,1
468,510,VEHICLE - STOLEN,99,1
469,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),176,1
471,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),90,1
473,510,VEHICLE - STOLEN,168,1
477,510,VEHICLE - STOLEN,163,1
478,510,VEHICLE - STOLEN,220,1
479,510,VEHICLE - STOLEN,147,1
483,510,VEHICLE - STOLEN,4,1
483,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",4,1
487,510,VEHICLE - STOLEN,54,1
488,510,VEHICLE - STOLEN,65,1
489,510,VEHICLE - STOLEN,106,1
491,510,VEHICLE - STOLEN,124,1
497,510,VEHICLE - STOLEN,389,1
499,510,VEHICLE - STOLEN,238,1
500,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),1,1
500,626,INTIMATE PARTNER - SIMPLE ASSAULT,1,1
501,510,VEHICLE - STOLEN,213,1
502,510,VEHICLE - STOLEN,13,1
503,510,VEHICLE - STOLEN,128,1
504,510,VEHICLE - STOLEN,242,1
505,510,VEHICLE - STOLEN,67,1
506,510,VEHICLE - STOLEN,151,1
507,510,VEHICLE - STOLEN,178,1
508,510,VEHICLE - STOLEN,62,1
509,510,VEHICLE - STOLEN,106,1
511,510,VEHICLE - STOLEN,119,1
512,510,VEHICLE - STOLEN,19,1
513,510,VEHICLE - STOLEN,170,1
514,510,VEHICLE - STOLEN,212,1
515,510,VEHICLE - STOLEN,152,1
516,510,VEHICLE - STOLEN,124,1
517,510,VEHICLE - STOLEN,91,1
518,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),295,1
519,510,VEHICLE - STOLEN,134,1
521,510,VEHICLE - STOLEN,152,1
522,510,VEHICLE - STOLEN,126,1
523,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",70,1
524,510,VEHICLE - STOLEN,133,1
525,510,VEHICLE - STOLEN,129,1
526,624,BATTERY - SIMPLE ASSAULT,131,1
527,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",33,1
528,510,VEHICLE - STOLEN,136,1
529,510,VEHICLE - STOLEN,400,1
531,510,VEHICLE - STOLEN,113,1
532,510,VEHICLE - STOLEN,87,1
541,510,VEHICLE - STOLEN,90,1
551,510,VEHICLE - STOLEN,151,1
555,510,VEHICLE - STOLEN,165,1
557,510,VEHICLE - STOLEN,232,1
558,510,VEHICLE - STOLEN,151,1
559,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",76,1
561,510,VEHICLE - STOLEN,29,1
562,510,VEHICLE - STOLEN,92,1
563,510,VEHICLE - STOLEN,331,1
564,510,VEHICLE - STOLEN,219,1
565,510,VEHICLE - STOLEN,83,1
566,510,VEHICLE - STOLEN,200,1
567,510,VEHICLE - STOLEN,106,1
569,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",81,1
581,330,BURGLARY FROM VEHICLE,31,1
583,510,VEHICLE - STOLEN,45,1
584,510,VEHICLE - STOLEN,65,1
585,510,VEHICLE - STOLEN,214,1
587,510,VEHICLE - STOLEN,141,1
589,510,VEHICLE - STOLEN,46,1
599,510,VEHICLE - STOLEN,5,1
599,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",5,1
600,121,"RAPE, FORCIBLE",1,1
600,433,DRIVING WITHOUT OWNER CONSENT (DWOC),1,1
615,330,BURGLARY FROM VEHICLE,228,1
621,310,BURGLARY,30,1
622,330,BURGLARY FROM VEHICLE,180,1
625,624,BATTERY - SIMPLE ASSAULT,76,1
626,330,BURGLARY FROM VEHICLE,61,1
627,330,BURGLARY FROM VEHICLE,80,1
628,510,VEHICLE - STOLEN,121,1
629,330,BURGLARY FROM VEHICLE,195,1
631,310,BURGLARY,57,1
632,440,THEFT PLAIN - PETTY ($950 & UNDER),144,1
632,330,BURGLARY FROM VEHICLE,144,1
635,330,BURGLARY FROM VEHICLE,71,1
636,624,BATTERY - SIMPLE ASSAULT,414,1
637,624,BATTERY - SIMPLE ASSAULT,152,1
638,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),206,1
639,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),167,1
642,330,BURGLARY FROM VEHICLE,68,1
643,330,BURGLARY FROM VEHICLE,286,1
644,330,BURGLARY FROM VEHICLE,192,1
645,624,BATTERY - SIMPLE ASSAULT,486,1
646,624,BATTERY - SIMPLE ASSAULT,476,1
647,624,BATTERY - SIMPLE ASSAULT,285,1
648,624,BATTERY - SIMPLE ASSAULT,189,1
649,624,BATTERY - SIMPLE ASSAULT,65,1
656,624,BATTERY - SIMPLE ASSAULT,101,1
657,624,BATTERY - SIMPLE ASSAULT,114,1
659,624,BATTERY - SIMPLE ASSAULT,98,1
663,310,BURGLARY,180,1
665,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",3,1
665,210,ROBBERY,3,1
666,624,BATTERY - SIMPLE ASSAULT,282,1
667,510,VEHICLE - STOLEN,136,1
668,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),399,1
669,510,VEHICLE - STOLEN,117,1
672,624,BATTERY - SIMPLE ASSAULT,1,1
676,510,VEHICLE - STOLEN,94,1
677,510,VEHICLE - STOLEN,101,1
678,510,VEHICLE - STOLEN,131,1
679,510,VEHICLE - STOLEN,62,1
696,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",2,1
697,510,VEHICLE - STOLEN,1,1
699,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),1,1
699,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),1,1
700,624,BATTERY - SIMPLE ASSAULT,1,1
700,946,OTHER MISCELLANEOUS CRIME,1,1
701,330,BURGLARY FROM VEHICLE,272,1
702,310,BURGLARY,214,1
704,350,"THEFT, PERSON",1,1
705,310,BURGLARY,92,1
706,310,BURGLARY,133,1
709,510,VEHICLE - STOLEN,1,1
711,310,BURGLARY,161,1
713,330,BURGLARY FROM VEHICLE,58,1
714,310,BURGLARY,24,1
715,310,BURGLARY,21,1
715,510,VEHICLE - STOLEN,21,1
716,647,THROWING OBJECT AT MOVING VEHICLE,1,1
716,624,BATTERY - SIMPLE ASSAULT,1,1
717,510,VEHICLE - STOLEN,33,1
719,310,BURGLARY,110,1
721,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),250,1
722,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),583,1
723,310,BURGLARY,138,1
724,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),744,1
725,310,BURGLARY,37,1
726,310,BURGLARY,64,1
727,510,VEHICLE - STOLEN,71,1
728,354,THEFT OF IDENTITY,1,1
729,310,BURGLARY,91,1
732,310,BURGLARY,106,1
733,330,BURGLARY FROM VEHICLE,69,1
734,440,THEFT PLAIN - PETTY ($950 & UNDER),229,1
735,440,THEFT PLAIN - PETTY ($950 & UNDER),95,1
736,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),892,1
737,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),174,1
738,310,BURGLARY,76,1
739,310,BURGLARY,38,1
742,310,BURGLARY,57,1
743,330,BURGLARY FROM VEHICLE,196,1
745,510,VEHICLE - STOLEN,160,1
747,510,VEHICLE - STOLEN,76,1
749,510,VEHICLE - STOLEN,109,1
752,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),76,1
753,510,VEHICLE - STOLEN,70,1
755,510,VEHICLE - STOLEN,87,1
756,626,INTIMATE PARTNER - SIMPLE ASSAULT,1,1
756,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",1,1
758,510,VEHICLE - STOLEN,104,1
759,510,VEHICLE - STOLEN,133,1
762,510,VEHICLE - STOLEN,120,1
763,510,VEHICLE - STOLEN,88,1
764,510,VEHICLE - STOLEN,92,1
765,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),342,1
766,624,BATTERY - SIMPLE ASSAULT,39,1
767,510,VEHICLE - STOLEN,39,1
768,330,BURGLARY FROM VEHICLE,1,1
769,624,BATTERY - SIMPLE ASSAULT,77,1
771,510,VEHICLE - STOLEN,1,1
772,626,INTIMATE PARTNER - SIMPLE ASSAULT,1,1
773,510,VEHICLE - STOLEN,84,1
774,510,VEHICLE - STOLEN,62,1
775,510,VEHICLE - STOLEN,88,1
776,510,VEHICLE - STOLEN,80,1
777,510,VEHICLE - STOLEN,44,1
778,624,BATTERY - SIMPLE ASSAULT,48,1
779,510,VEHICLE - STOLEN,60,1
782,310,BURGLARY,166,1
783,510,VEHICLE - STOLEN,128,1
784,510,VEHICLE - STOLEN,102,1
785,510,VEHICLE - STOLEN,94,1
787,510,VEHICLE - STOLEN,33,1
788,510,VEHICLE - STOLEN,46,1
789,510,VEHICLE - STOLEN,94,1
800,121,"RAPE, FORCIBLE",1,1
801,354,THEFT OF IDENTITY,35,1
802,330,BURGLARY FROM VEHICLE,74,1
803,354,THEFT OF IDENTITY,36,1
804,330,BURGLARY FROM VEHICLE,35,1
805,310,BURGLARY,91,1
806,310,BURGLARY,92,1
807,354,THEFT OF IDENTITY,74,1
808,310,BURGLARY,78,1
809,310,BURGLARY,32,1
811,330,BURGLARY FROM VEHICLE,245,1
812,354,THEFT OF IDENTITY,45,1
813,310,BURGLARY,52,1
814,310,BURGLARY,26,1
815,310,BURGLARY,41,1
816,440,THEFT PLAIN - PETTY ($950 & UNDER),52,1
817,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),268,1
818,440,THEFT PLAIN - PETTY ($950 & UNDER),28,1
819,310,BURGLARY,37,1
821,330,BURGLARY FROM VEHICLE,34,1
822,330,BURGLARY FROM VEHICLE,93,1
823,310,BURGLARY,55,1
824,310,BURGLARY,75,1
825,310,BURGLARY,34,1
826,310,BURGLARY,43,1
827,354,THEFT OF IDENTITY,87,1
828,354,THEFT OF IDENTITY,69,1
829,354,THEFT OF IDENTITY,75,1
831,310,BURGLARY,165,1
832,330,BURGLARY FROM VEHICLE,117,1
833,440,THEFT PLAIN - PETTY ($950 & UNDER),116,1
834,354,THEFT OF IDENTITY,97,1
834,310,BURGLARY,97,1
835,310,BURGLARY,185,1
836,310,BURGLARY,137,1
837,440,THEFT PLAIN - PETTY ($950 & UNDER),29,1
838,440,THEFT PLAIN - PETTY ($950 & UNDER),45,1
839,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),576,1
841,440,THEFT PLAIN - PETTY ($950 & UNDER),126,1
842,330,BURGLARY FROM VEHICLE,144,1
843,440,THEFT PLAIN - PETTY ($950 & UNDER),2,1
847,310,BURGLARY,107,1
848,354,THEFT OF IDENTITY,38,1
849,510,VEHICLE - STOLEN,145,1
851,510,VEHICLE - STOLEN,71,1
852,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),1329,1
853,330,BURGLARY FROM VEHICLE,161,1
854,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",26,1
855,310,BURGLARY,135,1
857,310,BURGLARY,97,1
858,510,VEHICLE - STOLEN,56,1
859,510,VEHICLE - STOLEN,138,1
861,330,BURGLARY FROM VEHICLE,32,1
871,330,BURGLARY FROM VEHICLE,15,1
872,480,BIKE - STOLEN,4,1
881,310,BURGLARY,186,1
882,310,BURGLARY,117,1
883,310,BURGLARY,68,1
884,354,THEFT OF IDENTITY,224,1
885,310,BURGLARY,112,1
886,310,BURGLARY,46,1
887,510,VEHICLE - STOLEN,62,1
889,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),266,1
891,510,VEHICLE - STOLEN,19,1
892,310,BURGLARY,62,1
892,510,VEHICLE - STOLEN,62,1
893,310,BURGLARY,75,1
895,624,BATTERY - SIMPLE ASSAULT,76,1
896,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),42,1
897,510,VEHICLE - STOLEN,112,1
898,510,VEHICLE - STOLEN,131,1
899,510,VEHICLE - STOLEN,87,1
900,354,THEFT OF IDENTITY,1,1
901,510,VEHICLE - STOLEN,117,1
902,510,VEHICLE - STOLEN,1,1
904,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),596,1
905,510,VEHICLE - STOLEN,135,1
906,354,THEFT OF IDENTITY,137,1
909,510,VEHICLE - STOLEN,182,1
911,510,VEHICLE - STOLEN,206,1
914,510,VEHICLE - STOLEN,283,1
915,510,VEHICLE - STOLEN,174,1
916,510,VEHICLE - STOLEN,141,1
917,510,VEHICLE - STOLEN,1,1
919,510,VEHICLE - STOLEN,102,1
921,330,BURGLARY FROM VEHICLE,1,1
922,440,THEFT PLAIN - PETTY ($950 & UNDER),1,1
922,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1,1
923,624,BATTERY - SIMPLE ASSAULT,196,1
926,510,VEHICLE - STOLEN,243,1
927,886,DISTURBING THE PEACE,1,1
929,510,VEHICLE - STOLEN,59,1
931,510,VEHICLE - STOLEN,47,1
932,624,BATTERY - SIMPLE ASSAULT,107,1
933,510,VEHICLE - STOLEN,98,1
934,624,BATTERY - SIMPLE ASSAULT,1,1
934,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",1,1
934,330,BURGLARY FROM VEHICLE,1,1
935,624,BATTERY - SIMPLE ASSAULT,150,1
936,625,OTHER ASSAULT,1,1
936,310,BURGLARY,1,1
937,510,VEHICLE - STOLEN,82,1
938,510,VEHICLE - STOLEN,68,1
939,510,VEHICLE - STOLEN,86,1
941,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),292,1
942,330,BURGLARY FROM VEHICLE,1,1
942,850,INDECENT EXPOSURE,1,1
942,888,TRESPASSING,1,1
943,510,VEHICLE - STOLEN,137,1
944,624,BATTERY - SIMPLE ASSAULT,1,1
945,210,ROBBERY,1,1
946,510,VEHICLE - STOLEN,115,1
948,510,VEHICLE - STOLEN,65,1
952,510,VEHICLE - STOLEN,193,1
955,510,VEHICLE - STOLEN,51,1
957,310,BURGLARY,18,1
958,354,THEFT OF IDENTITY,1,1
958,220,ATTEMPTED ROBBERY,1,1
961,310,BURGLARY,21,1
963,310,BURGLARY,113,1
964,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),325,1
966,310,BURGLARY,86,1
969,330,BURGLARY FROM VEHICLE,115,1
971,510,VEHICLE - STOLEN,103,1
974,330,BURGLARY FROM VEHICLE,108,1
976,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),20,1
979,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),48,1
981,330,BURGLARY FROM VEHICLE,99,1
983,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),1,1
984,310,BURGLARY,55,1
985,310,BURGLARY,214,1
989,310,BURGLARY,191,1
991,310,BURGLARY,95,1
994,310,BURGLARY,69,1
995,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,1,1
998,310,BURGLARY,92,1
1000,860,BATTERY WITH SEXUAL CONTACT,1,1
1001,624,BATTERY - SIMPLE ASSAULT,113,1
1003,510,VEHICLE - STOLEN,126,1
1004,510,VEHICLE - STOLEN,113,1
1005,510,VEHICLE - STOLEN,100,1
1006,510,VEHICLE - STOLEN,56,1
1007,510,VEHICLE - STOLEN,50,1
1008,510,VEHICLE - STOLEN,213,1
